date,open,high,low,close
1971-07-25,16.38,16.38,15.81,16.38
1971-08-01,16.31,16.31,15.56,15.56
1971-08-08,15.56,15.81,14.81,15.69
1971-08-15,15.69,15.88,15.12,15.38
1971-08-22,16.38,16.88,16.31,16.5
1971-08-29,16.5,17.5,16.44,16.88
1971-09-05,16.88,17.5,16.69,17.5
1971-09-12,17.405,17.62,16.75,17.0
1971-09-19,17.0,17.25,16.69,16.88
1971-09-26,16.88,16.94,16.12,16.69
1971-10-03,16.69,16.88,16.5,16.88
1971-10-10,16.81,16.81,16.31,16.44
1971-10-17,16.44,16.44,16.12,16.19
1971-10-24,16.19,16.31,15.19,15.38
1971-10-31,15.19,15.56,14.62,15.0
1971-11-07,14.94,15.38,14.31,14.88
1971-11-14,14.88,14.94,14.06,14.25
1971-11-21,14.25,14.62,14.0,14.12
1971-11-28,14.12,14.25,13.69,14.06
1971-12-05,14.06,15.0,13.75,15.0
1971-12-12,15.0,15.25,14.5,14.88
1971-12-19,14.88,15.5,14.88,15.38
1971-12-26,15.38,15.88,14.88,15.2
1972-01-02,15.12,16.0,15.0,15.94
1972-01-09,15.94,16.31,15.56,16.06
1972-01-16,16.06,16.56,15.75,16.06
1972-01-23,16.06,16.12,15.25,15.62
1972-01-30,15.62,15.88,15.25,15.44
1972-02-06,15.38,15.44,14.75,14.94
1972-02-13,14.94,16.25,14.81,15.81
1972-02-20,15.81,16.12,15.56,15.69
1972-02-27,15.782499999999999,15.94,15.5,15.75
1972-03-05,15.75,15.81,15.25,15.69
1972-03-12,15.69,15.75,15.06,15.25
1972-03-19,15.19,15.62,14.88,15.5
1972-03-26,15.5,15.62,15.19,15.38
1972-04-02,15.38,15.6675,15.25,15.6375
1972-04-09,15.62,16.31,15.56,16.12
1972-04-16,16.12,16.56,16.12,16.44
1972-04-23,16.44,16.75,16.0,16.12
1972-04-30,16.12,16.12,15.38,15.75
1972-05-07,15.75,15.88,15.25,15.75
1972-05-14,15.69,15.69,14.88,15.12
1972-05-21,15.12,15.25,14.75,14.88
1972-05-28,14.88,15.0,14.56,15.0
1972-06-04,14.9975,15.69,14.81,14.88
1972-06-11,14.88,15.06,13.94,14.0
1972-06-18,14.0,14.81,13.81,14.06
1972-06-25,14.06,14.88,13.75,14.31
1972-07-02,14.25,14.31,13.81,14.0
1972-07-09,14.0,14.38,13.81,14.19
1972-07-16,14.19,14.25,13.62,13.75
1972-07-23,13.75,14.0,13.25,14.0
1972-07-30,14.0,14.94,13.94,14.94
1972-08-06,14.88,14.88,14.56,14.75
1972-08-13,14.75,15.06,14.56,15.06
1972-08-20,15.06,15.19,14.75,15.12
1972-08-27,15.12,15.19,14.75,14.88
1972-09-03,14.88,15.0,14.69,15.0
1972-09-10,14.97,15.12,14.62,14.88
1972-09-17,14.88,15.0,14.62,14.88
1972-09-24,14.88,14.88,14.19,14.38
1972-10-01,14.38,14.81,14.12,14.62
1972-10-08,14.62,14.69,14.06,14.19
1972-10-15,14.19,14.38,13.5,13.88
1972-10-22,13.88,13.94,13.62,13.81
1972-10-29,13.81,13.94,13.38,13.5
1972-11-05,13.5,14.69,13.38,14.69
1972-11-12,14.69,15.69,14.56,15.44
1972-11-19,15.44,15.69,14.94,15.5
1972-11-26,15.5,16.31,15.5,16.0
1972-12-03,16.0,16.25,15.81,16.19
1972-12-10,16.19,16.38,15.75,16.31
1972-12-17,16.31,16.38,15.62,15.94
1972-12-24,15.81,15.81,14.94,15.62
1972-12-31,15.5125,15.88,15.4225,15.75
1973-01-07,15.735,15.94,15.0,15.12
1973-01-14,15.12,15.69,14.88,15.38
1973-01-21,15.5,15.69,14.81,15.12
1973-01-28,15.12,15.19,14.19,14.38
1973-02-04,14.38,14.69,13.81,13.88
1973-02-11,13.81,13.94,12.81,13.5
1973-02-18,13.5,14.44,13.25,13.56
1973-02-25,13.575,13.592500000000001,12.5,12.75
1973-03-04,12.75,13.19,12.56,13.19
1973-03-11,13.19,14.06,13.12,14.06
1973-03-18,14.06,14.69,13.94,14.12
1973-03-25,14.12,14.12,12.75,13.19
1973-04-01,13.19,13.56,12.75,13.25
1973-04-08,13.25,13.44,12.69,12.94
1973-04-15,13.0,13.94,13.0,13.62
1973-04-22,13.38,13.44,13.06,13.2025
1973-04-29,13.19,13.25,12.81,12.94
1973-05-06,12.88,13.69,12.62,13.44
1973-05-13,13.44,13.94,13.31,13.75
1973-05-20,13.75,13.88,12.62,12.75
1973-05-27,12.75,13.38,12.5,13.25
1973-06-03,13.25,13.38,12.88,13.06
1973-06-10,13.0,13.06,12.62,12.69
1973-06-17,12.62,12.62,11.75,11.81
1973-06-24,11.62,11.69,10.94,11.19
1973-07-01,11.19,11.38,10.62,11.31
1973-07-08,11.25,11.25,10.38,10.75
1973-07-15,10.75,12.38,10.69,12.31
1973-07-22,12.31,12.56,11.88,12.06
1973-07-29,12.0,12.12,11.5,11.69
1973-08-05,11.69,11.81,11.12,11.38
1973-08-12,11.38,12.0,11.12,11.12
1973-08-19,11.06,11.12,10.5,10.69
1973-08-26,10.69,10.88,9.81,10.69
1973-09-02,10.69,11.19,10.38,11.12
1973-09-09,11.1725,12.19,11.1725,11.62
1973-09-16,11.62,11.69,11.31,11.5
1973-09-23,11.5,12.94,11.5,12.94
1973-09-30,12.88,13.12,12.06,12.44
1973-10-07,12.38,12.38,11.38,11.81
1973-10-14,11.81,12.12,11.5,11.62
1973-10-21,11.62,11.94,10.69,10.88
1973-10-28,10.69,11.25,10.31,11.12
1973-11-04,11.12,11.38,10.62,10.81
1973-11-11,10.75,10.75,9.12,9.56
1973-11-18,9.56,9.62,8.25,8.62
1973-11-25,8.62,8.62,7.56,8.06
1973-12-02,7.94,8.12,7.5,7.69
1973-12-09,7.62,7.62,6.31,7.25
1973-12-16,7.25,7.25,6.25,6.62
1973-12-23,6.62,7.25,6.31,6.88
1973-12-30,6.88,7.69,6.5,7.44
1974-01-06,7.44,8.25,7.31,8.0
1974-01-13,8.0,8.12,7.19,7.69
1974-01-20,7.69,7.94,7.5,7.75
1974-01-27,7.75,8.62,7.38,8.44
1974-02-03,8.44,8.69,8.0,8.06
1974-02-10,7.88,7.88,7.38,7.62
1974-02-17,7.62,8.12,7.38,8.0
